title,price,category
1960 Alfa Romeo Giulietta Spider Veloce,"Bid to $82,000 on 3/17/20",convertibles
Alfa Romeo Giulietta Veloce Engine and Parts,"Sold for $5,100 on 3/6/20",convertibles
28k-Mile 1961 Alfa Romeo Giulietta Sprint,"Sold for $55,000 on 3/6/20",convertibles
1959 Alfa Romeo Giulietta Sprint Project,"Sold for $11,000 on 2/24/20",convertibles
1961 Alfa Romeo Giulietta Sprint Speciale,"Sold for $132,000 on 1/16/20",convertibles
1961 Alfa Romeo Giulietta Spider Race Car,"Bid to $26,750 on 12/30/19",convertibles
1958 Alfa Romeo Giulietta Spider 750D,"Bid to $40,000 on 12/26/19",convertibles
1962 Alfa Romeo Giulietta Sprint,"Bid to $41,111 on 12/24/19",convertibles
1962 Alfa Romeo Giulietta Spider,"Bid to $32,000 on 11/29/19",convertibles
1959 Alfa Romeo Giulietta Spider,"Bid to $42,500 on 11/22/19",convertibles
1960 Alfa Romeo Giulietta Sprint Veloce,"Sold for $71,000 on 10/4/19",convertibles
1958 Alfa Romeo Giulietta Sprint Veloce ‘Confortevole’,"Sold for $120,000 on 8/29/19",convertibles
1958 Alfa Romeo Giulietta Sprint 750B Project,"Sold for $7,800 on 7/26/19",convertibles
1961 Alfa Romeo Giulietta Spider,"Sold for $40,000 on 7/26/19",convertibles
1961 Alfa Romeo Giulietta Sprint Speciale,"Bid to $144,000 on 6/11/19",convertibles
1960 Alfa Romeo Giulietta Sprint 2.0L 5-Speed,"Sold for $55,000 on 5/24/19",convertibles
1959 Alfa Romeo Giulietta Spider,"Sold for $50,000 on 4/30/19",convertibles
1958 Alfa Romeo Giulietta Spider Veloce Project,"Bid to $38,250 on 4/22/19",convertibles
1959 Alfa Romeo Giulietta Spider Veloce 750F,"Sold for $38,000 on 3/22/19",convertibles
1960 Alfa Romeo Giulietta Spider Veloce,"Bid to $41,000 on 12/18/18",convertibles
1960 Alfa Romeo Giulietta Sprint,"Bid to $56,000 on 12/17/18",convertibles
Restored 1956 Alfa Romeo Giulietta Spider,"Sold for $76,751 on 12/14/18",convertibles
1959 Alfa Romeo Giulietta Sprint Project,"Bid to $5,600 on 11/8/18",convertibles
1958 Alfa Romeo Giulietta Spider Veloce Project,"Sold for $14,250 on 10/24/18",convertibles
1961 Alfa Romeo Giulietta Spider,"Sold for $58,500 on 10/4/18",convertibles
1958 Alfa Romeo Giulietta Spider Veloce Restoration Project,"Sold for $60,000 on 9/12/18",convertibles
1961 Alfa Romeo Giulietta Sprint Speciale,"Bid to $76,100 on 9/5/18",convertibles
1961 Alfa Romeo Giulietta Spider Project,"Sold for $9,500 on 8/17/18",convertibles
1961 Alfa Romeo Giulietta Sprint Project,"Bid to $14,500 on 7/27/18",convertibles
1961 Alfa Romeo Giulietta Sprint Project,"Sold for $27,000 on 7/11/18",convertibles
1958 Alfa Romeo Giulietta 750F Spider Veloce,"Bid to $88,000 on 7/10/18",convertibles
1961 Alfa Romeo Giulietta Sprint,"Bid to $36,000 on 6/21/18",convertibles
1961 Alfa Romeo Giulietta Sprint Speciale,"Sold for $120,000 on 6/18/18",convertibles
Restored 1958 Alfa Romeo Giulietta Spider Veloce 750F,"Bid to $96,000 on 6/12/18",convertibles
1958 Alfa Romeo Giulietta Spider 750D,"Sold for $50,000 on 4/24/18",convertibles
1959 Alfa Romeo Giulietta Sprint 2.0L,"Bid to $40,150 on 4/3/18",convertibles
1962 Alfa Romeo Giulietta Berlina Normale,"Bid to $11,101 on 3/8/18",convertibles
1959 Alfa Romeo Giulietta Spider 750D,"Sold for $82,000 on 2/28/18",convertibles
1962 Alfa Romeo Giulietta Sprint Veloce,"Sold for $61,550 on 2/27/18",convertibles
1957 Alfa Romeo Giulietta Spider,"Sold for $69,500 on 2/20/18",convertibles
1959 Alfa Romeo Giulietta Sprint Project,"Bid to $17,000 on 12/19/17",convertibles
1959 Alfa Romeo Giulietta Spider Veloce 750F,"Sold for $60,000 on 12/15/17",convertibles
1959 Alfa Romeo Giulietta Spider 750D,"Sold for $57,500 on 11/2/17",convertibles
1959 Alfa Romeo Giulietta Sprint,"Bid to $52,000 on 10/19/17",convertibles
1961 Alfa Romeo Giulietta Sprint,"Bid to $64,000 on 10/9/17",convertibles
1957 Alfa Romeo Giulietta Spider Project,"Bid to $15,500 on 9/29/17",convertibles
1957 Alfa Romeo Giulietta Spider Racer Project,"Bid to $9,000 on 9/22/17",convertibles
1961 Alfa Romeo Giulietta Sprint Speciale,"Bid to $97,000 on 9/11/17",convertibles
1956 Alfa Romeo Giulietta Spider,"Sold for $62,000 on 9/8/17",convertibles
Modified 1958 Alfa Romeo Giulietta Spider 5-Speed,"Sold for $34,000 on 8/11/17",convertibles
1956 Alfa Romeo Giulietta Spider Racer,"Bid to $52,000 on 7/12/17",convertibles
1961 Alfa Romeo Giulietta Sprint Speciale,"Bid to $103,000 on 5/15/17",convertibles
1958 Alfa Romeo Giulietta 750F Spider Veloce,"Bid to $80,000 on 5/8/17",convertibles
1958 Alfa Romeo Giulietta Spider Project,"Sold for $25,000 on 4/24/17",convertibles
1961 Alfa Romeo Giulietta Sprint Veloce,"Bid to $60,000 on 4/13/17",convertibles
1958 Alfa Romeo Giulietta Spider Veloce 750F,"Sold for $66,500 on 4/6/17",convertibles
1961 Alfa Romeo Giulietta Sprint,"Bid to $34,000 on 2/3/17",convertibles
1961 Alfa Romeo Giulietta TI,"Bid to $9,523 on 2/2/17",convertibles
1961 Alfa Romeo Giulietta Sprint,"Bid to $32,500 on 1/16/17",convertibles
1957 Alfa Romeo Giulietta 750D,"Bid to $62,000 on 1/13/17",convertibles
